"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 13:04:50 GMT 2025","Tue Jul 22 13:04:51 GMT 2025","1705","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Tue Jul 22 13:04:49 GMT 2025","Tue Jul 22 13:04:50 GMT 2025","1733","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Tue Jul 22 13:04:59 GMT 2025","Tue Jul 22 13:05:00 GMT 2025","1419","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jul 22 13:04:45 GMT 2025","Tue Jul 22 13:04:46 GMT 2025","1859","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Jul 22 13:04:47 GMT 2025","Tue Jul 22 13:04:48 GMT 2025","1357","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jul 22 13:04:41 GMT 2025","Tue Jul 22 13:04:44 GMT 2025","2236","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 13:04:52 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","4716","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jul 22 13:04:46 GMT 2025","Tue Jul 22 13:04:48 GMT 2025","1633","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 22 13:04:41 GMT 2025","Tue Jul 22 13:04:45 GMT 2025","3962","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jul 22 13:04:52 GMT 2025","Tue Jul 22 13:04:56 GMT 2025","4388","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jul 22 13:04:57 GMT 2025","Tue Jul 22 13:04:57 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
